Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Other duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.513020756606409,,,,73.75,77.0,70.0,,,,1,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.513020756606409,,,,81.75,86.0,74.0,,,,1,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.513020756606409,,,,81.75,92.0,77.0,,,,1,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.513020756606409,,,,81.0,84.0,80.0,,,,1,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.513020756606409,,,,76.25,81.0,74.0,,,,1,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.513020756606409,,,,77.75,79.0,76.0,,,,1,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.513020756606409,,,,79.5,80.0,78.0,,,,1,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.513020756606409,,,,84.75,91.0,76.0,,,,1,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.513020756606409,,,,76.25,79.0,73.0,,,,1,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.513020756606409,,,,76.25,80.0,74.0,,,,1,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.513020756606409,,,,81.5,89.0,77.0,,,,1,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.513020756606409,,,,77.5,86.0,74.0,,,,1,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.513020756606409,,,,79.0,90.0,75.0,,,,1,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.513020756606409,,,,74.0,75.0,73.0,,,,1,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.513020756606409,,,,76.0,78.0,74.0,,,,1,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.513020756606409,,,,74.5,80.0,70.0,,,,1,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.513020756606409,,,,73.0,76.0,70.0,,,,1,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.513020756606409,,,,78.75,84.0,77.0,,,,1,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.513020756606409,,,,76.5,77.0,75.0,,,,1,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.513020756606409,,,,73.75,77.0,72.0,,,,1,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.513020756606409,,,,73.0,75.0,71.0,,,,1,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.513020756606409,,,,78.0,79.0,75.0,,,,1,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.513020756606409,,,,75.25,77.0,72.0,,,,1,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.513020756606409,,,,68.5,71.0,67.0,,,,1,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,13.513020756606409,,,,69.75,71.0,68.0,,,,1,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,13.513020756606409,,,,74.25,78.0,68.0,,,,1,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,13.513020756606409,,,,89.25,100.0,73.0,,,,26,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,13.513020756606409,,,,97.5,114.0,65.0,,,,37,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,13.513020744158045,,,,93.0,107.0,87.0,,,,32,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,13.513020721499942,,,,79.75,88.0,77.0,,,,22,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,13.513020721499942,,,,,,,,,,22,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,13.513020721499942,,,,92.25,96.0,81.0,,,,22,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,13.51302064126479,,,,86.75,96.0,77.0,,,,25,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,13.513020401083397,,,,77.75,79.0,77.0,,,,37,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,13.513020401083397,,,,80.25,82.0,77.0,,,,37,,,,
08:45:00.000+05:30,09:00:00.000+05:30,,13.513020401083397,,,,83.25,94.0,79.0,,,,37,,,,
09:00:00.000+05:30,09:15:00.000+05:30,,13.513020337011733,,,,78.75,83.0,76.0,,,,40,,,,
09:15:00.000+05:30,09:30:00.000+05:30,,13.513020133210343,,,,80.0,88.0,68.0,,,,48,,,,
09:30:00.000+05:30,09:45:00.000+05:30,,13.513020133210343,,,,70.5,78.0,68.0,,,,48,,,,
09:45:00.000+05:30,10:00:00.000+05:30,,13.513020133210343,,,,74.0,82.0,66.0,,,,48,,,,
10:00:00.000+05:30,10:15:00.000+05:30,,13.513020173190654,,,,71.75,74.0,69.0,,,,98,,,,
10:15:00.000+05:30,10:30:00.000+05:30,,13.513020340665577,,,,69.5,75.0,67.0,,,,304,,,,
10:30:00.000+05:30,10:45:00.000+05:30,,13.513020340665577,,,,66.5,72.0,60.0,,,,304,,,,
10:45:00.000+05:30,11:00:00.000+05:30,,13.513020340665577,,,,92.0,98.0,82.0,,,,304,,,,
11:00:00.000+05:30,11:15:00.000+05:30,,13.513020340665577,,,,86.75,94.0,66.0,,,,296,,,,
11:15:00.000+05:30,11:30:00.000+05:30,,13.5130205246924,,,,66.5,67.0,66.0,,,,254,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,13.513020985644518,,,,85.75,95.0,68.0,,,,298,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,13.513020985644518,,,,70.25,73.0,67.0,,,,298,,,,
12:00:00.000+05:30,12:15:00.000+05:30,,13.513020985644518,,,,68.0,72.0,62.0,,,,298,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,13.513021090138645,,,,69.25,73.0,66.0,,,,265,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,13.5130217825661,,,,61.5,62.0,60.0,,,,49,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,13.5130217825661,,,,81.75,88.0,73.0,,,,49,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,13.5130217825661,,,,73.0,89.0,66.0,,,,49,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,13.5130217825661,,,,76.25,82.0,73.0,,,,92,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,13.5130217825661,,,,84.0,91.0,81.0,,,,382,,,,
