Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Other duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.513019796609328,,,,70.25,79.0,67.0,,,,9,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.513019796609328,,,,76.25,88.0,71.0,,,,9,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.513019796609328,,,,77.75,83.0,76.0,,,,9,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.513019796609328,,,,70.25,72.0,69.0,,,,9,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.513019796609328,,,,82.5,90.0,65.0,,,,9,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.513019796609328,,,,77.5,79.0,75.0,,,,9,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.513019796609328,,,,75.25,78.0,74.0,,,,9,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.513019796609328,,,,77.75,82.0,75.0,,,,9,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.513019796609328,,,,75.75,79.0,74.0,,,,9,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.513019796609328,,,,74.75,75.0,74.0,,,,9,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.513019796609328,,,,74.5,76.0,74.0,,,,9,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.513019796609328,,,,75.75,79.0,74.0,,,,9,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.513019796609328,,,,73.5,75.0,73.0,,,,9,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.513019796609328,,,,70.75,76.0,67.0,,,,9,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.513019796609328,,,,76.75,80.0,75.0,,,,9,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.513019796609328,,,,79.75,88.0,77.0,,,,9,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.513019796609328,,,,71.75,76.0,68.0,,,,9,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.513019796609328,,,,86.0,101.0,69.0,,,,9,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.513019796609328,,,,70.25,72.0,67.0,,,,9,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.513019796609328,,,,69.75,74.0,63.0,,,,9,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.513019796609328,,,,74.5,89.0,69.0,,,,9,,,,
