Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Other duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.513019811456545,,,,74.25,80.0,71.0,,,,7,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.513019811456545,,,,73.75,75.0,73.0,,,,7,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.513019811456545,,,,72.5,76.0,70.0,,,,7,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.513019811456545,,,,73.5,74.0,73.0,,,,7,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.513019811456545,,,,70.0,73.0,68.0,,,,7,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.513019811456545,,,,71.75,74.0,69.0,,,,7,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.513019811456545,,,,92.0,108.0,75.0,,,,7,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.513019811456545,,,,76.75,77.0,76.0,,,,7,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.513019811456545,,,,76.5,80.0,72.0,,,,7,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.513019811456545,,,,68.0,72.0,66.0,,,,7,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.513019811456545,,,,73.0,83.0,68.0,,,,7,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.513019811456545,,,,68.75,73.0,66.0,,,,7,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.513019811456545,,,,71.0,77.0,65.0,,,,7,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.513019811456545,,,,74.75,85.0,67.0,,,,7,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.513019811456545,,,,69.5,73.0,67.0,,,,7,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.513019811456545,,,,68.5,75.0,65.0,,,,7,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.513019811456545,,,,75.0,93.0,61.0,,,,7,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.513019811456545,,,,71.75,73.0,70.0,,,,7,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.513019811456545,,,,69.25,73.0,65.0,,,,7,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.513019811456545,,,,69.0,71.0,65.0,,,,7,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.513019811456545,,,,75.75,95.0,58.0,,,,7,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.513019811456545,,,,60.75,62.0,60.0,,,,7,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.513019811456545,,,,64.75,65.0,64.0,,,,7,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.513019811456545,,,,65.0,67.0,64.0,,,,7,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,13.513019811456545,,,,65.0,77.0,59.0,,,,7,,,,
